Date,Description,Amount
2024-07-04,"CHIPOTLE",-41.57
2024-07-08,"TARGET",-47.02
2024-07-13,"COSTCO WHOLESALE",-67.66
2024-07-13,"CHIPOTLE",-51.86
2024-07-14,"TARGET",-96.79
2024-07-17,"SHELL OIL",-47.25
2024-07-17,"AMAZON.COM",-41.09
2024-07-27,"PAYMENT RECEIVED - THANK YOU",386.02
2024-08-03,"SHELL OIL",-81.40
2024-08-06,"TARGET",-104.33
2024-08-09,"SHELL OIL",-39.96
2024-08-09,"HOME DEPOT",-67.02
2024-08-09,"COSTCO WHOLESALE",-41.51
2024-08-10,"SHELL OIL",-34.62
2024-08-11,"COSTCO WHOLESALE",-43.83
2024-08-16,"CHIPOTLE",-46.71
2024-08-18,"AMAZON.COM",-109.60
2024-08-24,"COSTCO WHOLESALE",-39.87
2024-08-27,"PAYMENT RECEIVED - THANK YOU",575.04
2024-09-01,"HOME DEPOT",-49.74
2024-09-02,"HOME DEPOT",-56.83
2024-09-02,"COSTCO WHOLESALE",-29.79
2024-09-06,"TARGET",-98.20
2024-09-11,"AMAZON.COM",-61.69
2024-09-12,"CHIPOTLE",-45.90
2024-09-14,"TARGET",-48.35
2024-09-19,"SHELL OIL",-140.98
2024-09-21,"TARGET",-141.24
2024-09-24,"CHIPOTLE",-112.58
2024-09-27,"PAYMENT RECEIVED - THANK YOU",716.29
2024-10-07,"COSTCO WHOLESALE",-47.94
2024-10-09,"COSTCO WHOLESALE",-40.11
2024-10-11,"TARGET",-126.63
2024-10-16,"AMAZON.COM",-46.25
2024-10-16,"AMAZON.COM",-115.41
2024-10-18,"HOME DEPOT",-88.11
2024-10-23,"SHELL OIL",-44.69
2024-10-26,"AMAZON.COM REFUND",57.51
2024-10-27,"PAYMENT RECEIVED - THANK YOU",502.37
2024-11-08,"CHIPOTLE",-84.19
2024-11-11,"CHIPOTLE",-82.98
2024-11-14,"CHIPOTLE",-123.43
2024-11-18,"AMAZON.COM",-44.81
2024-11-18,"CHIPOTLE",-25.87
2024-11-21,"HOME DEPOT",-92.02
2024-11-27,"PAYMENT RECEIVED - THANK YOU",481.80
2024-12-06,"AMAZON.COM",-75.39
2024-12-12,"AMAZON.COM",-62.85
2024-12-13,"AMAZON.COM",-48.13
2024-12-15,"CHIPOTLE",-112.00
2024-12-16,"AMAZON.COM",-49.06
2024-12-17,"COSTCO WHOLESALE",-25.33
2024-12-18,"SHELL OIL",-91.82
2024-12-18,"AMAZON.COM",-56.84
2024-12-27,"PAYMENT RECEIVED - THANK YOU",499.23
2025-01-01,"HOME DEPOT",-26.88
2025-01-05,"TARGET",-51.09
2025-01-08,"HOME DEPOT",-42.26
2025-01-13,"TARGET",-37.11
2025-01-15,"TARGET",-65.45
2025-01-25,"AMAZON.COM",-48.95
2025-01-27,"PAYMENT RECEIVED - THANK YOU",314.44
2025-02-05,"COSTCO WHOLESALE",-33.05
2025-02-11,"SHELL OIL",-37.40
2025-02-19,"SHELL OIL",-39.61
2025-02-20,"HOME DEPOT",-77.58
2025-02-23,"TARGET",-119.05
2025-02-24,"TARGET",-32.72
2025-02-27,"PAYMENT RECEIVED - THANK YOU",319.84
2025-03-04,"TARGET",-51.33
2025-03-05,"CHIPOTLE",-167.72
2025-03-13,"TARGET",-59.89
2025-03-14,"AMAZON.COM",-55.88
2025-03-18,"HOME DEPOT",-55.57
2025-03-22,"CHIPOTLE",-88.31
2025-03-27,"PAYMENT RECEIVED - THANK YOU",487.93
2025-04-01,"SHELL OIL",-83.50
2025-04-03,"HOME DEPOT",-44.24
2025-04-04,"CHIPOTLE",-67.46
2025-04-11,"COSTCO WHOLESALE",-153.13
2025-04-12,"SHELL OIL",-65.31
2025-04-16,"TARGET",-65.88
2025-04-20,"COSTCO WHOLESALE",-32.99
2025-04-21,"CHIPOTLE",-37.19
2025-04-22,"SHELL OIL",-49.16
2025-04-25,"TARGET",-96.20
2025-04-27,"PAYMENT RECEIVED - THANK YOU",715.02
2025-05-07,"COSTCO WHOLESALE",-36.59
2025-05-09,"SHELL OIL",-50.04
2025-05-10,"CHIPOTLE",-136.32
2025-05-13,"AMAZON.COM",-44.78
2025-05-18,"COSTCO WHOLESALE",-67.26
2025-05-18,"CHIPOTLE",-158.58
2025-05-19,"SHELL OIL",-40.71
2025-05-22,"HOME DEPOT",-84.23
2025-05-23,"COSTCO WHOLESALE",-46.61
2025-05-26,"AMAZON.COM",-100.55
2025-05-27,"PAYMENT RECEIVED - THANK YOU",669.15
2025-06-07,"AMAZON.COM",-107.54
2025-06-08,"SHELL OIL",-113.78
2025-06-09,"TARGET",-162.12
2025-06-09,"COSTCO WHOLESALE",-48.96
2025-06-13,"HOME DEPOT",-53.35
2025-06-15,"CHIPOTLE",-53.21
2025-06-16,"CHIPOTLE",-42.02
2025-06-27,"PAYMENT RECEIVED - THANK YOU",630.66
2025-07-01,"HOME DEPOT",-56.98
2025-07-06,"TARGET",-44.88
2025-07-09,"TARGET",-35.80
2025-07-10,"AMAZON.COM",-86.72
2025-07-17,"SHELL OIL",-38.19
2025-07-17,"TARGET",-90.79
2025-07-19,"AMAZON.COM",-27.63
2025-07-20,"CHIPOTLE",-91.81
2025-07-22,"SHELL OIL",-63.16
2025-07-27,"PAYMENT RECEIVED - THANK YOU",521.93
2025-08-02,"HOME DEPOT",-50.68
2025-08-04,"SHELL OIL",-27.71
2025-08-05,"HOME DEPOT",-93.10
2025-08-08,"SHELL OIL",-78.91
2025-08-09,"TARGET",-89.80
2025-08-12,"TARGET",-110.67
2025-08-16,"HOME DEPOT",-53.56
2025-08-19,"HOME DEPOT",-67.34
2025-08-22,"COSTCO WHOLESALE",-55.51
2025-08-25,"AMAZON.COM",-38.19
2025-08-27,"PAYMENT RECEIVED - THANK YOU",706.03
2025-09-05,"COSTCO WHOLESALE",-50.93
2025-09-08,"HOME DEPOT",-42.07
2025-09-09,"CHIPOTLE",-135.82
2025-09-09,"CHIPOTLE",-46.33
2025-09-17,"AMAZON.COM",-44.17
2025-09-17,"HOME DEPOT",-37.95
2025-09-23,"HOME DEPOT",-59.03
2025-09-27,"SHELL OIL",-143.55
