Date,Description,Amount
2024-07-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2024-08-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2024-09-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2024-10-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2024-11-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2024-12-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-01-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-02-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-03-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-04-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-05-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-06-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-07-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-08-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-09-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-10-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-11-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2025-12-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2026-01-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2026-02-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2026-03-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2026-04-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2026-05-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
2026-06-16,"TRANSFER FROM SCHWAB BROKERAGE",800.00
