Date,Description,Amount
2024-07-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-07-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2024-07-02,"BRIGHT HORIZONS CHILDCARE",-1262.05
2024-07-03,"SCHNUCKS ST LOUIS",-243.12
2024-07-05,"AMEREN MISSOURI",-261.05
2024-07-06,"SPIRE ENERGY",-52.13
2024-07-07,"MSD WATER SEWER",-101.52
2024-07-08,"AT&T INTERNET",-85.00
2024-07-09,"T-MOBILE",-105.00
2024-07-10,"SCHNUCKS ST LOUIS",-208.73
2024-07-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-07-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2024-07-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2024-07-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2024-07-17,"UPWORK ESCROW",634.53
2024-07-17,"SCHNUCKS ST LOUIS",-160.41
2024-07-24,"SCHNUCKS ST LOUIS",-231.95
2024-07-27,"PAYMENT VISA",-386.02
2024-07-27,"PAYMENT AMEX",-437.48
2024-08-01,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-08-01,"FIRST COMMUNITY MORTGAGE",-2150.00
2024-08-02,"BRIGHT HORIZONS CHILDCARE",-1213.42
2024-08-03,"SCHNUCKS ST LOUIS",-196.31
2024-08-05,"UPWORK ESCROW",901.42
2024-08-05,"AMEREN MISSOURI",-230.30
2024-08-06,"SPIRE ENERGY",-52.19
2024-08-07,"MSD WATER SEWER",-98.40
2024-08-08,"AT&T INTERNET",-85.00
2024-08-09,"T-MOBILE",-105.00
2024-08-10,"SCHNUCKS ST LOUIS",-196.88
2024-08-15,"MERIDIAN HEALTH SYSTEMS PAYROLL",3400.00
2024-08-16,"TRANSFER TO SCHWAB BROKERAGE",-800.00
2024-08-16,"TRANSFER TO MO ABLE 529 CHILD A",-200.00
2024-08-16,"TRANSFER TO MO ABLE 529 CHILD B",-200.00
2024-08-17,"SCHNUCKS ST LOUIS",-244.65
2024-08-18,"STATE FARM ANNUAL PREMIUM",-2140.00
2024-08-24,"SCHNUCKS ST LOUIS",-238.09
2024-08-27,"PAYMENT VISA",-575.04
